ref,species,yearstart,locality,dist_to_shore
kosenok2006,diaphus theta,2001,NA,490055.5419997117
kubota1980,benthosema pterotum,1969,japan,14698.318424796485
kubota1980,diaphus suborbitalis,1969,japan,14698.318424796485
kubota1980,myctophum nitidulum,1969,japan,14698.318424796485
kubota1980,myctophum orientale,1969,japan,14698.318424796485
mccrone1981,diaphus theta,1973,NA,348237.56771725777
mccrone1981,stenobrachius leucopsarus,1973,NA,348237.56771725777
merrett1974,notolychnus valdiviae,1972,morrocco,503638.74680802674
merrett1974,lobianchia dofleini,1972,morrocco,503638.74680802674
merrett1974,lampanyctus cuprarius,1972,morrocco,503638.74680802674
nirazuka2021,electrona antarctica,2017,wilkes land,282184.1616077289
olivar2019,diogenichthys atlanticus,NA,brazil,761094.806818384
olivar2019,notolychnus valdiviae,NA,brazil,761094.806818384
olivar2019,benthosema suborbitale,NA,brazil,761094.806818384
olivar2019,lobianchia dofleini,NA,brazil,761094.806818384
olivar2019,benthosema glaciale,NA,brazil,761094.806818384
olivar2019,lampanyctus pusillus,NA,brazil,761094.806818384
olivar2019,diaphus vanhoeffeni,NA,brazil,761094.806818384
olivar2019,hygophum macrochir,NA,brazil,761094.806818384
olivar2019,notoscopelus resplendens,NA,brazil,761094.806818384
olivar2019,diaphus holti,NA,brazil,761094.806818384
olivar2019,lampanyctus nobilis,NA,brazil,761094.806818384
olivar2019,diaphus brachycephalus,NA,brazil,761094.806818384
olivar2019,lampanyctus alatus,NA,brazil,761094.806818384
olivar2019,lepidophanes guentheri,NA,brazil,761094.806818384
olivar2019,diaphus dumerilii,NA,brazil,761094.806818384
olivar2019,diaphus mollis,NA,brazil,761094.806818384
olivar2019,ceratoscopelus warmingii,NA,brazil,761094.806818384
olivar2019,diaphus rafnesquii,NA,brazil,761094.806818384
olivar2019,myctophum punctatum,NA,brazil,761094.806818384
olivar2019,myctophum nitidulum,NA,brazil,761094.806818384
pakhomov1996,bolinichthys supralateralis,1994,southern ocean,1171200.9545351148
pakhomov1996,hygophum hygomii,1994,southern ocean,1171200.9545351148
pakhomov1996,diogenichthys atlanticus,1994,southern ocean,1171200.9545351148
pakhomov1996,electrona carlsbergi,1994,southern ocean,1171200.9545351148
